Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,393.000000,394.850006,387.600006,391.500000,390.538086,4126299
2022-11-09,394.049988,394.399994,389.149994,390.950012,389.989441,3431273
2022-11-10,388.799988,391.100006,387.000000,388.899994,387.944458,2747454
2022-11-11,398.500000,405.850006,397.250000,399.700012,398.717926,14208523
2022-11-14,402.649994,402.649994,395.549988,396.549988,395.575653,8811714
2022-11-15,398.049988,399.549988,394.000000,397.149994,396.174194,6231356
2022-11-16,399.000000,401.700012,396.200012,398.250000,397.271484,5519764
2022-11-17,397.899994,398.000000,395.000000,396.750000,395.775177,3028808
2022-11-18,397.850006,398.899994,392.799988,393.850006,392.882294,4773101
2022-11-21,393.850006,394.450012,387.600006,388.649994,387.695068,3952306
2022-11-22,389.000000,389.399994,384.500000,388.799988,387.844696,4205414
2022-11-23,390.750000,391.950012,388.000000,388.750000,387.794830,3358880
2022-11-24,389.899994,399.750000,389.149994,398.250000,397.271484,6685133
2022-11-25,399.000000,404.399994,395.899994,402.799988,401.810303,6824275
2022-11-28,402.799988,409.450012,402.000000,405.649994,404.653290,6839600
2022-11-29,403.000000,408.899994,402.899994,405.149994,404.154541,4551301
2022-11-30,406.899994,408.000000,402.649994,406.899994,405.900238,6946173
2022-12-01,412.850006,416.350006,411.649994,413.700012,412.683533,7926492
2022-12-02,413.799988,413.899994,409.049988,412.399994,411.386719,5863311
2022-12-05,413.250000,414.950012,410.649994,412.350006,411.336853,4973531
2022-12-06,410.500000,412.600006,407.799988,411.350006,410.339325,4416259
2022-12-07,409.000000,409.500000,405.299988,406.299988,405.301697,3284308
2022-12-08,407.250000,408.000000,403.299988,403.700012,402.708099,4470356
2022-12-09,406.000000,406.000000,391.250000,394.049988,393.081787,7711668
2022-12-12,392.899994,397.500000,388.000000,396.350006,395.376160,5182940
2022-12-13,398.350006,399.350006,396.000000,397.750000,396.772705,3406921
2022-12-14,400.799988,404.500000,399.250000,400.049988,399.067047,4997576
2022-12-15,399.750000,399.750000,394.049988,395.200012,394.229004,3883463
2022-12-16,391.399994,394.799988,388.049988,389.750000,388.792389,9006317
2022-12-19,388.450012,390.500000,385.700012,389.049988,388.094086,4419023
2022-12-20,388.799988,389.899994,383.000000,388.950012,387.994354,4389279
2022-12-21,390.899994,393.250000,387.850006,389.500000,388.542999,5107607
2022-12-22,390.100006,391.950012,386.000000,388.750000,387.794830,4546900
2022-12-23,384.000000,385.850006,377.000000,377.649994,376.722107,6060355
2022-12-26,378.000000,381.600006,376.299988,380.500000,379.565094,3630574
2022-12-27,382.500000,387.350006,380.250000,386.600006,385.650116,3842920
